Model,Price
C,614.85
C,626.8
C,628.4
C,640.35
C,672.75
C,710.5
C,736.9
C,738.85
C,759.8
C,813.0
614.85,626.8,628.4,640.35,672.75,710.5,736.9,738.85,759.8,813.0,1105.05,1195.35,1255.85
244.65,257.6,260.95,275.35,276.9,293.2,296.0,297.05,306.65,310.0,327.15,330.75,345.05,347.15,358.05,358.1,361.9,362.0,363.25,364.7,364.75,366.8,366.85,367.45,367.5,368.6,369.25,371.75,374.85,374.85,377.0,377.9,377.9,378.0,378.0,378.6,387.65,388.0,388.8,392.75,396.0,396.0,396.65,396.65,398.3,406.65,408.0,410.0,415.85,415.85,416.0,416.0,421.0,421.0,422.0,424.0,424.0,426.0,426.0,426.85,427.05,434.85,435.6,435.6,438.05,439.0,443.0,443.0,445.7,445.9,451.0,451.0,451.65,451.65,452.35,452.35,456.9,462.35,462.35,463.0,463.0,463.0,463.0,463.0,463.55,463.55,463.9,465.5,466.45,466.45,467.0,467.0,469.0,472.1,473.85,473.85,474.0,479.2,487.35,489.75,492.35,492.35,493.85,493.85,499.0,500.0,500.0,501.6,504.0,504.0,511.3,511.3,515.0,515.0,516.95,516.95,518.25,518.25,520.0,520.0,520.8,520.8,524.1,529.85,530.7,536.4,536.95,541.8,544.45,544.45,545.0,545.0,551.99,552.0,552.0,552.0,552.45,552.55,554.5,557.4,562.0,562.8,563.25,571.0,571.1,571.45,572.7,573.0,573.8,574.05,578.35,579.7,583.9,590.4,590.4,591.4,600.5,602.9,603.45,606.0,607.95,608.5,608.5,608.9,609.9,613.3,614.85,614.85,623.0,624.0,624.35,624.35,626.8,626.8,628.4,628.4,630.85,638.6,640.35,640.35,642.1,642.1,642.7,658.55,658.55,658.8,658.8,660.4,663.5,663.5,667.3,667.3,667.8,667.8,672.75,672.75,673.35,673.35,674.0,680.55,680.55,686.15,686.15,687.7,687.7,691.3,691.3,691.3,697.65,705.7,705.7,710.5,710.5,717.4,717.4,719.0,719.0,724.0,736.9,736.9,738.0,738.85,738.85,740.9,740.9,741.0,747.0,759.8,759.8,762.4,772.0,774.0,774.0,782.35,783.15,790.9,790.9,792.4,793.9,793.9,797.34,799.6,804.25,813.0,813.0,815.0,823.3,824.1,837.0,837.0,841.85,847.45,851.9,853.0,857.0,867.3,871.0,882.9,889.5,889.5,893.9,900.95,904.9,909.0,910.55,919.3,935.85,938.55,961.0,965.5,966.2,988.9,1008.8,1029.9,1030.7,1030.7,1048.0,1048.0,1051.0,1051.0,1066.75,1067.15,1067.15,1071.85,1080.75,1088.5,1098.95,1105.05,1105.05,1113.0,1113.0,1116.05,1116.05,1116.75,1143.75,1143.75,1160.45,1173.9,1181.05,1183.25,1195.35,1195.35,1197.35,1197.35,1228.0,1228.0,1232.95,1248.0,1248.0,1251.7,1253.6,1255.85,1255.85,1263.0,1263.0,1266.05,1274.65,1286.75,1287.5,1287.5,1290.4,1299.0,1299.0,1302.9,1302.9,1316.5,1325.0,1325.0,1336.3,1369.95,1387.0,1387.0,1396.85,1396.9,1396.9,1398.0,1404.6,1405.65,1407.0,1407.0,1420.5,1421.25,1421.25,1429.9,1445.5,1445.5,1449.9,1449.9,1499.0,1499.0,1502.5,1502.5,1508.0,1546.15,1546.15,1549.6,1575.0,1575.0,1625.0,1625.0,1653.0,1653.0,1688.4,1689.6,1692.8,1702.0,1702.0,1703.55,1708.15,1722.45,1725.65,1752.1,1804.5,1811.45,1816.95,1818.85,1841.15,1846.8,1923.5,1939.65,1952.0,1959.0,1991.6,2019.0,2019.0,2049.0,2067.9,2080.85,2099.95,2237.9,2506.9,2624.5
2022,11,21,0,28,244.65,374.85,296.0,392.75,465.5,562.0,614.85,741.0,847.45,358.05,416.0,499.0,624.35,396.65,1030.7,900.95,1197.35,1274.65,1708.15
2022,11,21,0,32,244.65,374.85,296.0,392.75,465.5,562.0,614.85,741.0,847.45,358.05,416.0,499.0,624.35,396.65,1030.7,900.95,1197.35,1274.65,1708.15
